time,latitude,longitude,depth,mag,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,reflect_latitude,reflect_longitude
20200318031329700000,3.02,128.04,101.8,5.46,7.8e+16,6.12e+16,-1.39e+17,6.86e+16,-1.33e+17,-2.84e+16,19.88,132.29
20200318031345700000,-13.14,167.03,176.0,6.09,1.36e+18,6e+16,-1.42e+18,-7.38e+17,-6.7e+16,6.23e+17,12.01,153.92
20200318053133900000,-11.05,164.46,10.0,5.44,-1.71e+17,5.45e+16,1.16e+17,-5.08e+16,2.85e+16,8.89e+16,13.21,152.45
20200318130931400000,40.75,-112.11,9.5,5.62,-3.06e+17,1.99e+16,2.86e+17,8.65e+16,-5.67e+16,-1.26e+17,54.53,-169.48
20200318174539300000,-11.05,115.14,20.7,6.25,-2.65e+18,3.26e+18,-6.05e+17,1.6e+17,-2.06e+17,-2.26e+17,13.1,125.24
20200318220820600000,40.36,-124.39,25.5,5.3,1.65e+16,-1.12e+17,9.54e+16,-1.01e+16,2.04e+16,-2.89e+16,50.54,-174.95
20200319135255200000,20.7,143.54,10.0,5.41,-1.62e+17,2.9e+16,1.33e+17,2.2e+15,4.61e+16,-5.66e+16,28.78,140.83
20200319175333400000,38.38,39.07,10.0,5.16,-4.02e+15,-4.08e+16,4.48e+16,3.14e+16,3.5e+14,4.35e+16,49.73,89.06
20200319200822700000,14.51,124.06,22.5,5.13,3.52e+16,-1.85e+16,-1.67e+16,-2.11e+16,4.68e+16,2.1e+16,25.8,130.21
20200320013315500000,28.59,87.31,10.0,5.69,-3.98e+17,-6.17e+16,4.59e+17,5.4e+16,2.29e+16,-5.08e+16,35.34,111.23
20200320030313700000,46.05,94.0,10.0,5.5,1.75e+17,-5.03e+16,-1.25e+17,3.6e+16,7.74e+16,1.31e+17,43.54,117.46
20200320061238700000,-2.84,129.81,10.0,5.01,1.81e+16,2.94e+15,-2.11e+16,-1.57e+16,2.85e+16,1.74e+16,17.01,133.3
20200320075327400000,56.52,-148.68,10.0,5.17,1.34e+16,-5.13e+16,3.78e+16,-8.98e+15,-1.69e+15,5.55e+16,52.68,166.65
20200321182938100000,-13.3,175.54,10.0,5.04,-1.43e+16,-1.79e+16,3.22e+16,6.03e+15,-4.44e+15,-3.69e+16,12.39,158.52
20200322033453500000,1.34,121.97,10.0,5.15,3.88e+16,-4.74e+16,8.6e+15,-5.22e+16,6.4e+14,9.5e+14,19.23,128.94
20200322055147800000,-3.11,135.63,30.8,5.05,3.58e+16,-4.76e+16,1.18e+16,1.88e+16,4.15e+15,9.53e+15,16.82,136.53
20200322153227100000,-16.09,-173.73,48.5,5.0,9.94e+15,-8.94e+15,-9.9e+14,-1.93e+16,-3.38e+16,-3.33e+15,11.28,164.35
20200323013040200000,22.87,144.06,10.0,5.09,4.22e+16,-2.65e+15,-3.96e+16,2.3e+14,3.36e+16,1.41e+16,29.87,141.09
20200323172814000000,-2.15,140.78,10.0,5.03,-4.58e+16,3.66e+16,9.25e+15,1.44e+16,2.85e+15,5.06e+15,17.32,139.39
20200323203339200000,-25.28,179.71,505.0,5.59,1.08e+17,-9.21e+16,-1.56e+16,-5.1e+16,-2.41e+17,-1.48e+17,5.42,160.46
20200325024921200000,48.96,157.7,57.8,7.48,1.96e+20,-1.99e+19,-1.76e+20,1.89e+19,-2.93e+19,-8.15e+19,43.33,146.71
